Nome da Aba/Campo,Direcionamento,Exemplo,Momento de preenchimento,Parent item,Significado do campo,Sub-item
1-5 satisfied with connection,"A percepção do gestor que acompanhou a mentoria permite que consiga avaliar quanto aquela conexão foi relevante ou não para o founder.
Com o tempo e as pessoas preenchendo na meeting, isso surgirá no Profile Modal automaticamente como UPVOTES em cada profile characteristic, e isso será um histórico das soft skills daquele mentor e comportamentos.",-,Pós-Meeting,Staff Feedbacks (https://www.notion.so/Staff-Feedbacks-9b1277b1d9074cb08f75b3a833dc933a?pvs=21),Nível de satisfação do gestor de contas em relação à conexão,
General Info,,,Pré-Meeting,,,"Company (https://www.notion.so/Company-99c5b5d3a5ea4d26b296ec8f7d196f73?pvs=21), Stage (https://www.notion.so/Stage-cdcdab17b6cc464487d46dd8ea951aad?pvs=21), Type (https://www.notion.so/Type-5664d5b0e2f643a992032f3b29fe6efa?pvs=21), Subject (https://www.notion.so/Subject-736821cdbe3e4677ab0588f2f6b0533a?pvs=21), Date/Time (https://www.notion.so/Date-Time-ed209a67d7734270bdcc714251632e71?pvs=21), Duration (minutes) (https://www.notion.so/Duration-minutes-87603f4d2aa445009607a1b9f6ab6a40?pvs=21), Status (https://www.notion.so/Status-b6315fc7131c46728623ed6b1c669188?pvs=21)"
Mentor’s lowlights,"Marcar as opções que descrevem pontos negativos da pessoa mentora, tanto no processo de marcação, preparação e comportamento/entrega durante a mentoria","Challenging scheduling
Unprepared mentor
Dificulty listening
Generic advice
Contextual gap",Pós-Meeting,Staff Feedbacks (https://www.notion.so/Staff-Feedbacks-9b1277b1d9074cb08f75b3a833dc933a?pvs=21),Pontos negativos sobre a pessoa mentora no processo antes e durante a mentoria,
Status,"Ao fim da meeting deve ser alterado para completed. 
Completed: a data tem que ser igual ou menor que a data atual.","Potential: Toda potencial conexão que esteja no radar;
No Response: Caso o mentor/a não tenho respondido o pedido de mentoria
Refused: Caso o mentor/a tenha recusado o pedido de mentoria
Scheduled: Depois de confirmar datas e disparar invites para ambas as partes;
Cancelled: Caso uma das partes tenha cancelado e a meeting não aconteceu;
Completed: Ao final da meeting",Pós-Meeting,General Info (https://www.notion.so/General-Info-94ca40991925462fb02c33448f264be3?pvs=21),Status em que a meeting se encontra,
General Info,,,Pós-Meeting,,,Status (https://www.notion.so/Status-4daf2fd61bc9450fb99a2d99548ab1a4?pvs=21)
Atendees,,,Pré-Meeting,,,"Atendee (company) (https://www.notion.so/Atendee-company-2ec62ec344794259a4ef15886adb47b6?pvs=21), Role (https://www.notion.so/Role-0d4afc7ccca54a18b1e4cb34ad1189c2?pvs=21)"
Mentor’s key characteristics,"Marcar as opções que melhor descrevem a pessoa mentora em termos de personalidade, modo de ser, maneira que se apresenta e impressão que deixa","Curious
Pragmatic
Suggestive
Detail-oriented
Succint
Charismatic
Endevorised",Pós-Meeting,Staff Feedbacks (https://www.notion.so/Staff-Feedbacks-9b1277b1d9074cb08f75b3a833dc933a?pvs=21),Características da personalidade da pessoa mentora,
Status,"Ao agendar o status deve ser colocado como scheduled. Ao fim, da meeting deve ser alterado para completed. 
Scheduled: a data tem que ser maior que a data atual.
Completed: a data tem que ser igual ou menor que a data atual.","Potential: status em que a meeting deve ser criada. Utilize no momento que você já souber que gostaria de realizar uma conexão com aquele mentor.
Scheduled: status utilizado para quando você já possuir dia e horário para a mentoria. Atualize esse campo no momento em que obtiver a confirmação da data e horário da mentoria.
Completed: status a ser utilizado após a mentoria ser realizada.
Cancelled: status a utilizar quando uma mentoria que já estava agendada (scheduled) for cancelada.
No response: status a ser utilizado quando você não obtiver resposta para um pedido de mentoria realizado.
Refused: status a ser utilizado quando um mentor recusar seu pedido de mentoria.",Pré-Meeting,General Info (https://www.notion.so/General-Info-06817c1473154ac9ba9fe2315c64b303?pvs=21),Status em que a meeting se encontra,
Date/Time,-,-,Pré-Meeting,General Info (https://www.notion.so/General-Info-06817c1473154ac9ba9fe2315c64b303?pvs=21),Dia e horário em que a meeting acontecerá,
Atendee (company),"Para aparecer na lista precisa ter uma Contact da pessoa criada no Sales Force. No caso de mentores, o campo “Relationship to Endeavor” do Sales Force deve estar atualizado","Sérgio Furio;
Jean-Marc; 
Juliana Freitas",Pré-Meeting,Atendees (https://www.notion.so/Atendees-a796b66f8f0a4d93bb5de4d69e0c138d?pvs=21),"Nome das pessoas (empreendedora, mentora ou staff) que fará parte da mentoria",
